Year,Intervention,InterventionNum,Month,Season,SeasonNum,AvgTDHK,AvgTCTG,AvgTSYL,AvgTMym,AvgTRaj,AvgTRang,AvgTBar,AvgTKhul,AvgT,Rainfall,RabiesCase,ARV,MDV,RabiesCasePlus1
2011,Before,1,11,Winter,3,23.01566667,23.41566667,21.592,22.391,21.741,21.50366667,23.52166667,22.66166667,22.48029167,0.15,8,2980,3285,9
2011,Before,1,12,Winter,3,19.73483871,19.93387097,18.53516129,19.44,17.70709677,18.02709677,19.90774194,19.22096774,19.06334677,0.19,17,3209,0,18
2012,Before,1,1,Winter,3,18.31548387,18.79709677,16.65870968,17.88,17.23548387,16.61387097,19.19354839,18.61516129,17.91366935,11.95,7,10787,0,8
2012,Before,1,2,Winter,3,21.48,21.98172414,19.52241379,20.88482759,20.57689655,19.93241379,22.45724138,21.82448276,21.0825,17.78,10,10220,0,11
2012,Before,1,3,Pre-monsoon,1,27.04741935,26.49290323,24.49741935,26.25258065,26.77580645,25.99967742,27.45548387,28.02741935,26.56858871,12.87,2,11550,214,3
2012,Before,1,4,Pre-monsoon,1,29.43633333,27.69733333,26.43533333,29.07466667,31.133,29.794,29.06133333,30.84566667,29.18470833,224.8,9,10780,8742,10
2012,Before,1,5,Pre-monsoon,1,30.13548387,28.56741935,28.1283871,29.93483871,33.68774194,31.40064516,29.61451613,32.25483871,30.46548387,146.08,3,10500,0,4
2012,Before,1,6,Monsoon,2,29.51566667,28.33966667,28.07733333,29.301,33.08166667,30.94133333,29.25766667,31.40566667,29.99,241.18,2,10700,8151,3
2012,Before,1,7,Monsoon,2,28.67290323,27.61580645,27.94322581,28.62806452,29.55612903,29.1683871,28.08709677,28.94483871,28.57705645,273.72,6,9580,6994,7
2012,Before,1,8,Monsoon,2,28.20225806,27.37032258,27.68935484,28.23612903,28.86677419,28.99064516,27.78096774,28.18354839,28.165,279.96,6,12100,12576,7
2012,Before,1,9,Monsoon,2,27.62833333,27.68866667,27.373,27.57366667,27.78033333,27.72133333,27.79133333,27.59633333,27.644125,163.08,9,10200,8978,10
2012,Before,1,10,Monsoon,2,25.22096774,26.74612903,25.83419355,25.05322581,23.64677419,23.60645161,25.89516129,24.51193548,25.06435484,71.35,9,10100,0,10
2012,Before,1,11,Winter,3,21.22266667,23.185,21.49166667,20.621,19.165,19.00266667,22.22833333,20.46866667,20.923125,59.82,8,11800,0,9
2012,Before,1,12,Winter,3,17.00064516,18.68322581,17.47258065,16.69612903,15.43419355,15.06612903,17.69,16.33290323,16.79697581,4.49,11,11127,0,12
2013,Before,1,1,Winter,3,16.19225806,17.7316129,16.06096774,15.75870968,14.96,14.5983871,17.46709677,16.50903226,16.15975806,0.18,10,13327,0,11
2013,Before,1,2,Winter,3,21.545,22.46178571,20.62178571,21.38571429,20.64821429,20.51607143,22.06107143,21.80821429,21.38098214,7.58,8,12758,8826,9
2013,Before,1,3,Pre-monsoon,1,27.44741935,26.69096774,24.82645161,26.9716129,27.09774194,26.62,27.47032258,28.18870968,26.91415323,23.91,6,13429,0,7
2013,Before,1,4,Pre-monsoon,1,30.473,29.031,27.554,30.16533333,31.03733333,30.102,29.97,31.59566667,29.99104167,77.75,8,11783,5129,9
2013,Before,1,5,Pre-monsoon,1,28.79129032,27.48387097,27.05322581,28.69967742,31.71741935,30.19290323,28.36870968,30.03548387,29.04282258,452.72,3,12529,2134,4
2013,Before,1,6,Monsoon,2,28.71233333,28.20966667,28.28366667,28.86533333,29.75866667,29.74766667,28.48666667,28.686,28.84375,297.74,5,13228,0,6
2013,Before,1,7,Monsoon,2,28.43741935,27.78580645,28.14612903,28.56709677,29.32,29.20483871,28.14903226,28.5183871,28.51608871,223.43,5,12724,0,6
2013,Before,1,8,Monsoon,2,27.86096774,27.5516129,27.35290323,27.87903226,28.40129032,28.35967742,27.85322581,27.85645161,27.88939516,222.98,6,12484,0,7
